ID,Link,Name,Backlog,Committed,Elaboration,Build,QA,Done,Type,Status,Resolution,Blocked Days
FAB-25197,https://immediateco.atlassian.net/browse/FAB-25197,Site verification,2019-12-09,,,,,,Story,Define Task,,0
FAB-25196,https://immediateco.atlassian.net/browse/FAB-25196,Tests,,,2019-12-09,2019-12-09,,,Sub-Task,In Progress,,0
FAB-25195,https://immediateco.atlassian.net/browse/FAB-25195,Truncation,,,2019-12-09,2019-12-09,,,Sub-Task,In Progress,,0
FAB-25194,https://immediateco.atlassian.net/browse/FAB-25194,Vertical card description truncation,2019-12-09,,,,,,Story,Define Task,,0
FAB-25192,https://immediateco.atlassian.net/browse/FAB-25192,Alexa: Filter Search Results,2019-12-09,,,,,,Story,Define Task,,0
FAB-25191,https://immediateco.atlassian.net/browse/FAB-25191,Alexa: View Unfiltered Search Page Results,2019-12-09,,,,,,Story,Define Task,,0
FAB-25190,https://immediateco.atlassian.net/browse/FAB-25190,My hub navigation indicates the page you are on,2019-12-09,,,,,,Story,Define Task,,0
FAB-25189,https://immediateco.atlassian.net/browse/FAB-25189,Alexa translation healthcheck,2019-12-09,,,,,,Story,Define Task,,0
FAB-25188,https://immediateco.atlassian.net/browse/FAB-25188,GF/Mig - Test Migration of Editorial Recipe Collection into PRODUCTION,2019-12-09,2019-12-09,2019-12-09,,,,Story,Ready For Development,,0
FAB-25179,https://immediateco.atlassian.net/browse/FAB-25179,Images that represent my user collections,2019-12-06,,,,,,Story,Define Task,,0
FAB-25170,https://immediateco.atlassian.net/browse/FAB-25170,MyHub dropdown is hard to close in landscape,,,2019-12-06,,,2019-12-09,Bug (subtask),Closed,Done,0
FAB-25169,https://immediateco.atlassian.net/browse/FAB-25169,MyHub dropdown doesn't scroll in landscape,,,2019-12-06,2019-12-06,,,Bug (subtask),In Progress,,0
FAB-25168,https://immediateco.atlassian.net/browse/FAB-25168,Order recipes in collections by most recently added,2019-12-05,,,,,,Story,Define Task,,0
FAB-25165,https://immediateco.atlassian.net/browse/FAB-25165,GF users password decryption,2019-12-05,,,,,,Story,Define Task,,0
FAB-25157,https://immediateco.atlassian.net/browse/FAB-25157,"Create new Clients for Recipe, My Hub and WordPress",2019-12-05,,,,,,Story,Preparation,,0
FAB-25155,https://immediateco.atlassian.net/browse/FAB-25155,Print recipe from step-by-step recipe on Fabric page,2019-12-05,2019-12-05,,,,,Story,Ready For Shaping,,0
FAB-25151,https://immediateco.atlassian.net/browse/FAB-25151,Tests,,,,2019-12-05,,2019-12-06,Sub-Task,Complete,Done,0
FAB-25150,https://immediateco.atlassian.net/browse/FAB-25150,Build pipeline,,,,2019-12-05,,2019-12-05,Sub-Task,Complete,Done,0
FAB-25146,https://immediateco.atlassian.net/browse/FAB-25146,Spec Add to Collection component,2019-12-05,,,,,,Discovery Design Story,Preparation,,0
FAB-25145,https://immediateco.atlassian.net/browse/FAB-25145,Design Add to Collection component,2019-12-05,,,,,,Discovery Design Story,Preparation,,0
FAB-25144,https://immediateco.atlassian.net/browse/FAB-25144,Define UX of Add to Collection component,,,2019-12-05,2019-12-09,,,Discovery Story,In Progress,,0
FAB-25143,https://immediateco.atlassian.net/browse/FAB-25143,Create backend card adapter,2019-12-05,2019-12-05,2019-12-05,,,,Story,Ready For Development,,0
FAB-25142,https://immediateco.atlassian.net/browse/FAB-25142,Create frontend card builder,2019-12-05,2019-12-05,2019-12-05,,,,Story,Ready For Development,,0
FAB-25141,https://immediateco.atlassian.net/browse/FAB-25141,Create base card components,2019-12-05,2019-12-05,2019-12-05,,,,Story,Ready For Development,,0
FAB-25136,https://immediateco.atlassian.net/browse/FAB-25136,Added as part of 24328,,,2019-12-04,,,2019-12-04,Sub-Task,Complete,Done,0
FAB-25133,https://immediateco.atlassian.net/browse/FAB-25133,StepxStep recipes should have Hide from pages option,2019-12-04,2019-12-04,,,,,Story,Ready For Shaping,,0
FAB-25132,https://immediateco.atlassian.net/browse/FAB-25132,"Servings range group for above 8 is displayed as 9-servings instead of ""More than 8""",,,,2019-12-05,2019-12-09,,Bug (subtask),Ready For Packaging,,0
FAB-25126,https://immediateco.atlassian.net/browse/FAB-25126,Terraform - Authorisation Refactor,2019-12-04,2019-12-04,2019-12-04,,,,Story,Ready For Development,,0
FAB-25123,https://immediateco.atlassian.net/browse/FAB-25123,Data-driven tests - UGR Client,2019-12-04,2019-12-04,,,,,Dev Task,Ready For Shaping,,0
FAB-25122,https://immediateco.atlassian.net/browse/FAB-25122,Data-driven tests - Recipes,2019-12-04,2019-12-04,,,,,Dev Task,Ready For Shaping,,0
FAB-25120,https://immediateco.atlassian.net/browse/FAB-25120,Data-driven tests - Social Network Settings,2019-12-04,2019-12-04,,,,,Dev Task,Ready For Shaping,,0
FAB-25119,https://immediateco.atlassian.net/browse/FAB-25119,Data-driven tests - Footer Settings,2019-12-04,2019-12-04,,,,,Dev Task,Ready For Shaping,,0
FAB-25118,https://immediateco.atlassian.net/browse/FAB-25118,Service - Recipes Frontend,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,Story,Complete,Done,0
FAB-25117,https://immediateco.atlassian.net/browse/FAB-25117,Service - My Hub Frontend,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,Story,Complete,Done,0
FAB-25116,https://immediateco.atlassian.net/browse/FAB-25116,Service - Content API ,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,Story,Complete,Done,0
FAB-25115,https://immediateco.atlassian.net/browse/FAB-25115,Service - Collections API,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,Story,Complete,Done,0
