,Items
0.0 to 1.0,31
1.0 to 2.0,28
2.0 to 3.0,19
3.0 to 4.0,13
4.0 to 5.0,11
5.0 to 6.0,7
6.0 to 7.0,14
7.0 to 8.0,12
8.0 to 9.0,17
9.0 to 10.0,6
10.0 to 11.0,11
11.0 to 12.0,10
12.0 to 13.0,8
13.0 to 14.0,16
14.0 to 15.0,26
15.0 to 16.0,16
16.0 to 17.0,4
17.0 to 18.0,5
18.0 to 19.0,8
19.0 to 20.0,5
20.0 to 21.0,7
21.0 to 22.0,9
22.0 to 23.0,11
23.0 to 24.0,8
24.0 to 25.0,9
25.0 to 26.0,5
26.0 to 27.0,3
27.0 to 28.0,8
28.0 to 29.0,10
29.0 to 30.0,7
30.0 to 31.0,4
31.0 to 32.0,6
32.0 to 33.0,4
33.0 to 34.0,3
34.0 to 35.0,3
35.0 to 36.0,7
36.0 to 37.0,2
37.0 to 38.0,3
38.0 to 39.0,4
39.0 to 40.0,0
40.0 to 41.0,2
41.0 to 42.0,5
42.0 to 43.0,7
43.0 to 44.0,6
44.0 to 45.0,2
45.0 to 46.0,2
46.0 to 47.0,1
47.0 to 48.0,1
48.0 to 49.0,2
49.0 to 50.0,3
50.0 to 51.0,3
51.0 to 52.0,0
52.0 to 53.0,2
53.0 to 54.0,2
54.0 to 55.0,2
55.0 to 56.0,1
56.0 to 57.0,4
57.0 to 58.0,5
58.0 to 59.0,4
59.0 to 60.0,1
60.0 to 61.0,0
61.0 to 62.0,0
62.0 to 63.0,0
63.0 to 64.0,0
64.0 to 65.0,3
65.0 to 66.0,1
66.0 to 67.0,2
67.0 to 68.0,0
68.0 to 69.0,0
69.0 to 70.0,2
70.0 to 71.0,1
71.0 to 72.0,3
72.0 to 73.0,1
73.0 to 74.0,1
74.0 to 75.0,1
75.0 to 76.0,0
76.0 to 77.0,0
77.0 to 78.0,2
78.0 to 79.0,0
79.0 to 80.0,0
80.0 to 81.0,1
81.0 to 82.0,0
82.0 to 83.0,0
83.0 to 84.0,3
84.0 to 85.0,1
85.0 to 86.0,1
86.0 to 87.0,1
87.0 to 88.0,1
88.0 to 89.0,2
89.0 to 90.0,1
90.0 to 91.0,1
91.0 to 92.0,0
92.0 to 93.0,0
93.0 to 94.0,2
94.0 to 95.0,0
95.0 to 96.0,0
96.0 to 97.0,0
97.0 to 98.0,1
98.0 to 99.0,1
99.0 to 100.0,1
100.0 to 101.0,1
101.0 to 102.0,0
102.0 to 103.0,0
103.0 to 104.0,0
104.0 to 105.0,0
105.0 to 106.0,1
106.0 to 107.0,0
107.0 to 108.0,0
108.0 to 109.0,0
109.0 to 110.0,0
110.0 to 111.0,0
111.0 to 112.0,0
112.0 to 113.0,1
113.0 to 114.0,0
114.0 to 115.0,0
115.0 to 116.0,0
116.0 to 117.0,0
117.0 to 118.0,0
118.0 to 119.0,0
119.0 to 120.0,2
120.0 to 121.0,0
121.0 to 122.0,0
122.0 to 123.0,1
123.0 to 124.0,0
124.0 to 125.0,0
125.0 to 126.0,0
126.0 to 127.0,1
127.0 to 128.0,0
128.0 to 129.0,0
129.0 to 130.0,0
130.0 to 131.0,0
131.0 to 132.0,1
132.0 to 133.0,0
133.0 to 134.0,1
134.0 to 135.0,0
135.0 to 136.0,1
136.0 to 137.0,0
137.0 to 138.0,0
138.0 to 139.0,0
139.0 to 140.0,0
140.0 to 141.0,0
141.0 to 142.0,0
142.0 to 143.0,0
143.0 to 144.0,0
144.0 to 145.0,0
145.0 to 146.0,0
146.0 to 147.0,0
147.0 to 148.0,0
148.0 to 149.0,0
149.0 to 150.0,0
150.0 to 151.0,0
151.0 to 152.0,0
152.0 to 153.0,0
153.0 to 154.0,1
154.0 to 155.0,0
155.0 to 156.0,0
156.0 to 157.0,0
157.0 to 158.0,0
158.0 to 159.0,0
159.0 to 160.0,0
160.0 to 161.0,1
161.0 to 162.0,0
162.0 to 163.0,2
163.0 to 164.0,1
164.0 to 165.0,1
165.0 to 166.0,0
166.0 to 167.0,0
167.0 to 168.0,1
168.0 to 169.0,0
169.0 to 170.0,0
170.0 to 171.0,0
171.0 to 172.0,0
172.0 to 173.0,0
173.0 to 174.0,0
174.0 to 175.0,0
175.0 to 176.0,0
176.0 to 177.0,0
177.0 to 178.0,0
178.0 to 179.0,0
179.0 to 180.0,0
180.0 to 181.0,0
181.0 to 182.0,0
182.0 to 183.0,0
183.0 to 184.0,1
184.0 to 185.0,0
185.0 to 186.0,0
186.0 to 187.0,0
187.0 to 188.0,0
188.0 to 189.0,0
189.0 to 190.0,0
190.0 to 191.0,0
191.0 to 192.0,0
192.0 to 193.0,0
193.0 to 194.0,0
194.0 to 195.0,0
195.0 to 196.0,0
196.0 to 197.0,0
197.0 to 198.0,0
198.0 to 199.0,0
199.0 to 200.0,0
200.0 to 201.0,0
201.0 to 202.0,0
202.0 to 203.0,0
203.0 to 204.0,0
204.0 to 205.0,0
205.0 to 206.0,0
206.0 to 207.0,0
207.0 to 208.0,0
208.0 to 209.0,1
