completed_date,cycle_time,blocked_days,key,url,issue_type,summary,status,resolution,Backlog,Committed,Elaboration,Build,QA,Done
2019-12-09,3.0,0,FAB-25170,https://immediateco.atlassian.net/browse/FAB-25170,Bug (subtask),MyHub dropdown is hard to close in landscape,Closed,Done,,,2019-12-06,,,2019-12-09
2019-12-06,1.0,0,FAB-25151,https://immediateco.atlassian.net/browse/FAB-25151,Sub-Task,Tests,Complete,Done,,,,2019-12-05,,2019-12-06
2019-12-05,0.0,0,FAB-25150,https://immediateco.atlassian.net/browse/FAB-25150,Sub-Task,Build pipeline,Complete,Done,,,,2019-12-05,,2019-12-05
2019-12-04,0.0,0,FAB-25136,https://immediateco.atlassian.net/browse/FAB-25136,Sub-Task,Added as part of 24328,Complete,Done,,,2019-12-04,,,2019-12-04
2019-12-04,0.0,0,FAB-25118,https://immediateco.atlassian.net/browse/FAB-25118,Story,Service - Recipes Frontend,Complete,Done,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04
2019-12-04,0.0,0,FAB-25117,https://immediateco.atlassian.net/browse/FAB-25117,Story,Service - My Hub Frontend,Complete,Done,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04
2019-12-04,0.0,0,FAB-25116,https://immediateco.atlassian.net/browse/FAB-25116,Story,Service - Content API ,Complete,Done,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04
2019-12-04,0.0,0,FAB-25115,https://immediateco.atlassian.net/browse/FAB-25115,Story,Service - Collections API,Complete,Done,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04,2019-12-04
2019-12-09,6.0,0,FAB-25088,https://immediateco.atlassian.net/browse/FAB-25088,Story,GF/Mig - Migration of Articles into PRODUCTION,Ready For Release,Done,2019-12-03,2019-12-03,2019-12-03,2019-12-03,2019-12-05,2019-12-09
2019-12-03,0.0,0,FAB-25051,https://immediateco.atlassian.net/browse/FAB-25051,Sub-Task,Pull Replies data from the API,Complete,Done,,,,2019-12-03,,2019-12-03
